"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","updated","link","data_start_date","data_end_date","pollster_type"
"1","6872","rcp_average","rcp_average","2/5 - 2/18","","","","",NA,NA,NA,NA,NA
"2","126566","poll_rcp_avg","ABC News/Wash Post","2/14 - 2/17","","913 RV","4.0","",2020-02-19 08:30:53,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1"
"3","126555","poll_rcp_avg","Emerson","2/16 - 2/18","","1250 RV","2.7","",2020-02-19 08:31:11,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1"
"4","126546","poll_rcp_avg","NBC News/Wall St. Jrnl","2/14 - 2/17","","900 RV","3.3","",2020-02-18 17:27:05,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1"
"5","126526","poll_rcp_avg","NPR/PBS/Marist","2/13 - 2/16","","1164 RV","3.7","",2020-02-18 07:59:41,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1"
"6","126422","poll_rcp_avg","Quinnipiac","2/5 - 2/9","","1519 RV","2.5","",2020-02-10 14:28:52,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1"
"7","126307","poll","NBC News/Wall St. Jrnl","1/26 - 1/29","","1000 RV","3.1","",2020-02-02 10:58:41,"https://www.nbcnews.com/politics/meet-the-press/nbc-wsj-poll-country-remains-divided-over-trump-s-impeachment-n1128326",2020-01-26,2020-01-29,"1"
"8","126296","poll","IBD/TIPP","1/23 - 1/30","","856 RV","3.3","",2020-01-31 15:53:26,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1"
"9","126136","poll","Emerson","1/21 - 1/23","","1128 RV","2.8","",2020-01-23 22:51:03,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1"
"10","126189","poll","ABC News/Wash Post","1/20 - 1/23","","880 RV","4.0","",2020-01-27 08:09:38,"https://www.washingtonpost.com/politics/trump-begins-reelection-year-more-competitive-against-democrats-than-he-was-three-months-ago-post-abc-poll-finds/2020/01/26/e5718616-3fc7-11ea-baca-eb7ace0a3455_story.html",2020-01-20,2020-01-23,"1"
"11","126286","poll","LA Times/USC","1/15 - 1/28","","4869 RV","2.0","",2020-02-07 08:05:45,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1"
"12","126173","poll","FOX News","1/19 - 1/22","","1005 RV","3.0","",2020-01-26 09:37:17,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1"
"13","126059","poll","CNN","1/16 - 1/19","","1051 RV","3.6","",2020-01-22 08:53:17,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1"
"14","125930","poll","IBD/TIPP","1/3 - 1/11","","846 RV","3.3","",2020-01-13 22:31:33,"https://www.investors.com/politics/trump-impeachment-support-dips-americans-back-trump-on-iran-economy/",2020-01-03,2020-01-11,"1"
"15","125583","poll","Emerson","12/15 - 12/17","","1222 RV","2.7","",2019-12-17 23:30:52,"https://emersonpolling.reportablenews.com/pr/december-national-poll-biden-and-sanders-pull-away-from-the-pack-as-warren-falls",2019-12-15,2019-12-17,"1"
"16","125661","poll","CNN","12/12 - 12/15","","888 RV","4.0","",2019-12-23 13:28:52,"https://cdn.cnn.com/cnn/2019/images/12/20/rel14c.-.economy,.general.election.pdf",2019-12-12,2019-12-15,"1"
"17","125564","poll","USA Today/Suffolk","12/10 - 12/14","","1000 RV","3.0","",2019-12-16 20:05:50,"https://www.usatoday.com/story/news/politics/elections/2019/12/16/trump-impeachment-2020-election-leads-democratic-rivals/2663659001/",2019-12-10,2019-12-14,"1"
"18","125546","poll","IBD/TIPP","12/5 - 12/14","","849 RV","3.5","",2019-12-16 14:20:58,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1"
"19","125522","poll","FOX News","12/8 - 12/11","","1000 RV","3.0","",2019-12-15 10:45:59,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1"
"20","125350","poll","Quinnipiac","12/4 - 12/9","","1553 RV","2.5","",2019-12-10 15:26:48,"https://poll.qu.edu/national/release-detail?ReleaseID=3651",2019-12-04,2019-12-09,"1"
"21","125259","poll","SurveyUSA","11/20 - 11/21","","3850 RV","1.7","",2019-11-27 16:53:26,"http://www.surveyusa.com/client/PollReport.aspx?g=5128ee79-1b59-4146-bf80-54906bb24d4b",2019-11-20,2019-11-21,"1"
"22","125139","poll","Emerson","11/17 - 11/20","","1092 RV","2.9","",2019-11-21 12:37:16,"https://emersonpolling.reportablenews.com/pr/november-national-poll-support-for-impeachment-declines-biden-and-sanders-lead-democratic-primary",2019-11-17,2019-11-20,"1"
"23","124782","poll","ABC News/Wash Post","10/27 - 10/30","","876 RV","4.0","",2019-11-05 08:33:38,"https://www.washingtonpost.com/politics/trump-trails-democratic-rivals-in-national-survey-as-independents-move-away/2019/11/04/e068afac-ff38-11e9-9518-1e76abc088b6_story.html",2019-10-27,2019-10-30,"1"
"24","124709","poll","FOX News","10/27 - 10/30","","1040 RV","3.0","",2019-11-03 09:37:01,"https://www.foxnews.com/politics/fox-news-poll-biden-leads-nomination-race-tops-trump-by-12-points-in-matchup",2019-10-27,2019-10-30,"1"
"25","124620","poll","Politico/Morning Consult","10/25 - 10/28","","1997 RV","2.0","",2019-10-30 09:06:23,"https://morningconsult.com/wp-content/uploads/2019/10/191058_crosstabs_POLITICO_RVs_v2_JB.pdf",2019-10-25,2019-10-28,"1"
"26","124437","poll","CNN","10/17 - 10/20","","892 RV","4.0","",2019-10-23 08:35:26,"https://cdn.cnn.com/cnn/2019/images/10/22/rel12b.-.2020.pdf",2019-10-17,2019-10-20,"1"
"27","124539","poll","SurveyUSA","10/15 - 10/16","","3080 RV","2.1","",2019-10-26 00:38:43,"http://www.surveyusa.com/client/PollReport.aspx?g=be45282e-0f2b-4aea-9431-c8dd46a3082f",2019-10-15,2019-10-16,"1"
"28","123559","poll","ABC News/Wash Post","9/2 - 9/5","","877 RV","4.0","",2019-09-11 08:19:16,"https://www.washingtonpost.com/context/sept-2-5-2019-washington-post-abc-news-poll/d4e18b36-79bf-492d-91e3-d1c7a49d37e2/",2019-09-02,2019-09-05,"1"
"29","123369","poll","Emerson","8/24 - 8/26","","1458 RV","2.5","",2019-08-27 12:19:39,"https://emersonpolling.reportablenews.com/pr/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades",2019-08-24,2019-08-26,"1"
"30","123387","poll","Quinnipiac","8/21 - 8/26","","1422 RV","4.6","",2019-08-28 08:22:18,"https://poll.qu.edu/national/release-detail?ReleaseID=3638",2019-08-21,2019-08-26,"1"
"31","123310","poll","Politico/Morning Consult","8/16 - 8/18","","1998 RV","2.0","",2019-08-21 10:35:16,"https://morningconsult.com/wp-content/uploads/2019/08/190845_crosstabs_POLITICO_RVs_v1_JB.pdf",2019-08-16,2019-08-18,"1"
"32","123174","poll","SurveyUSA","8/1 - 8/5","","5459 RV","1.6","",2019-08-09 18:25:10,"http://www.surveyusa.com/client/PollReport.aspx?g=e05bf5ae-982d-4f96-b0ae-671cdfe56aab",2019-08-01,2019-08-05,"1"
"33","122980","poll","Emerson","7/27 - 7/29","","1233 RV","2.7","",2019-07-30 08:33:39,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-support-while-bernie-bounces-back",2019-07-27,2019-07-29,"1"
"34","122685","poll","Emerson","7/6 - 7/8","","1100 RV","2.9","",2019-07-09 08:31:49,"https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-extends-lead-in-democratic-primary-trump-closes-the-gap-in-the-general-election",2019-07-06,2019-07-08,"1"
"35","122674","poll","ABC News/Wash Post","6/28 - 7/1","","875 RV","4.0","",2019-07-07 01:06:38,"https://www.washingtonpost.com/politics/aided-by-a-strong-economy-trump-approval-rises-but-a-majority-also-see-him-as-unpresidential/2019/07/04/c9c42c54-9d9f-11e9-b27f-ed2942f73d70_story.html",2019-06-28,2019-07-01,"1"
"36","122486","poll","Emerson","6/21 - 6/24","","1096 RV","2.9","",2019-06-25 07:38:07,"https://emersonpolling.reportablenews.com/pr/june-national-poll-all-eyes-on-the-democratic-debates-biden-sanders-and-warren-separate-from-the-field",2019-06-21,2019-06-24,"1"
"37","122355","poll","FOX News","6/9 - 6/12","","1001 RV","3.0","",2019-06-16 12:08:30,"https://www.foxnews.com/politics/fox-news-poll-6-16",2019-06-09,2019-06-12,"1"
"38","122261","poll","Quinnipiac","6/6 - 6/10","","1214 RV","3.5","",2019-06-11 14:12:02,"https://poll.qu.edu/national/release-detail?ReleaseID=2627",2019-06-06,2019-06-10,"1"
"39","122270","poll","Politico/Morning Consult","6/7 - 6/9","","1991 RV","2.0","",2019-06-12 08:50:33,"https://morningconsult.com/wp-content/uploads/2019/06/190618_crosstabs_POLITICO_RVs_v1_cxy7nwRpto.pdf",2019-06-07,2019-06-09,"1"
"40","121933","poll","FOX News","5/11 - 5/14","","1001 RV","3.0","",2019-05-16 18:12:39,"https://www.foxnews.com/politics/fox-news-poll-biden-up-by-double-digits-in-democratic-race",2019-05-11,2019-05-14,"1"
"41","121875","poll","Emerson","5/10 - 5/13","","1006 RV","3.0","",2019-05-13 21:37:47,"https://emersonpolling.reportablenews.com/pr/may-national-poll-biden-back-in-the-lead-for-the-democratic-nomination",2019-05-10,2019-05-13,"1"
"42","121756","poll","CNN","4/25 - 4/29","","439 RV","5.7","",2019-05-02 23:55:35,"https://cdn.cnn.com/cnn/2019/images/05/01/rel6d.-.trump.and.2020.pdf",2019-04-25,2019-04-29,"1"
"43","121660","poll","Rasmussen Reports","4/14 - 4/18","","5000 LV","1.5","",2019-04-26 13:36:44,"http://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_apr26",2019-04-14,2019-04-18,"1"
"44","121523","poll","Emerson","4/11 - 4/14","","914 RV","3.2","",2019-04-15 08:10:35,"http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/",2019-04-11,2019-04-14,"1"
"45","121360","poll","PPP (D)","3/27 - 3/28","","846 RV","3.4","",2019-04-01 13:36:33,"https://www.publicpolicypolling.com/wp-content/uploads/2019/04/PPP_Release_National_40119.pdf",2019-03-27,2019-03-28,"1"
