"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Trump","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"13",NA,"rcp_average","6768","rcp_average","2/11 - 3/8","","","","",Sanders,Democrat,+4.5,,NA,NA,NA,NA,NA,"Sanders","Democrat","+4.5","",46.3,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Monmouth University","Monmouth","126979","poll_rcp_avg","3/5 - 3/8","","977 RV","3.1","",Sanders,Democrat,+5.0,,2020-03-09 13:14:11,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_MI_030920/",2020-03-05,2020-03-08,"1","Sanders","Democrat","+5.0","",46.0,41.0,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"10",NA,"Yahoo News/YouGov","126994","poll_rcp_avg","3/6 - 3/8",""," RV","","",Sanders,Democrat,+1.0,,2020-03-09 15:40:10,"https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-crushing-sanders-in-michigan-and-other-battleground-states-ahead-of-tuesdays-primary-180347138.html",2020-03-06,2020-03-08,"1","Sanders","Democrat","+1.0","",43.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Univ. of Wis/State Journal","126669","poll_rcp_avg","2/11 - 2/20","","1249 LV","3.0","",Sanders,Democrat,+7.0,,2020-02-23 12:05:58,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","Democrat","+7.0","",48.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Quinnipiac University","Quinnipiac","126615","poll_rcp_avg","2/12 - 2/18","","845 RV","3.4","",Sanders,Democrat,+5.0,,2020-02-20 12:04:04,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Sanders","Democrat","+5.0","",48.0,43.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"11",NA,"EPIC-MRA","126000","poll","1/9 - 1/12","","600 LV","4.0","",Sanders,Democrat,+5.0,,2020-01-15 12:32:39,"https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/",2020-01-09,2020-01-12,"1","Sanders","Democrat","+5.0","",50.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Detroit News/WDIV-TV","125859","poll","1/3 - 1/7","","600 LV","4.0","",Sanders,Democrat,+4.0,,2020-01-09 09:38:56,"https://www.detroitnews.com/story/news/politics/2020/01/09/biden-bloomberg-have-largest-leads-against-trump-michigan-poll/2846700001/",2020-01-03,2020-01-07,"1","Sanders","Democrat","+4.0","",49.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","124736","poll","10/31 - 11/3","","1051 RV","3.0","",Sanders,Democrat,+14.0,,2019-11-03 23:44:51,"https://emersonpolling.reportablenews.com/pr/michigan-2020-democrats-aim-to-take-back-the-state",2019-10-31,2019-11-03,"1","Sanders","Democrat","+14.0","",57.0,43.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"5","Siena College/New York Times Upshot","NY Times/Siena","124740","poll","10/13 - 10/25","","501 LV","5.1","",Sanders,Democrat,+4.0,,2019-11-04 11:36:54,"https://github.com/ndcohn/battleground-poll-2019/blob/master/MI110419%20Crosstabs.pdf",2019-10-13,2019-10-25,"1","Sanders","Democrat","+4.0","",46.0,42.0,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"12",NA,"EPIC-MRA","123403","poll","8/17 - 8/21","","600 LV","4.0","",Sanders,Democrat,+4.0,,2019-08-28 09:15:48,"https://www.woodtv.com/news/elections/mi-poll-dems-top-trump-but-undecideds-could-tip-scale/",2019-08-17,2019-08-21,"1","Sanders","Democrat","+4.0","",48.0,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Detroit News/WDIV-TV","122193","poll","5/28 - 5/30","","600 LV","4.0","",Sanders,Democrat,+12.0,,2019-06-05 12:03:09,"https://www.detroitnews.com/story/news/politics/2019/06/05/biden-sanders-democrats-lead-trump-michigan-poll/1330277001/",2019-05-28,2019-05-30,"1","Sanders","Democrat","+12.0","",53.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Emerson College","Emerson","121072","poll","3/7 - 3/10","","743 RV","3.5","",Sanders,Democrat,+5.0,,2019-03-10 19:15:10,"https://emersonpolling.reportablenews.com/pr/michigan-2020-primary-biden-with-strong-lead-but-sanders-waiting-in-the-wings",2019-03-07,2019-03-10,"1","Sanders","Democrat","+5.0","",52.0,47.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"7",NA,"Detroit News/WDIV-TV","120600","poll","1/24 - 1/26","","600 LV","4.0","",Sanders,Democrat,+11.0,,2019-01-30 09:21:37,"https://www.clickondetroit.com/michigan-politics/wdivdetroit-news-poll-trump-faces-uphill-re-election-battle-in-michigan",2019-01-24,2019-01-26,"1","Sanders","Democrat","+11.0","",52.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
