"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Bloomberg","Warren","Buttigieg","Klobuchar","Gabbard","Steyer","Yang","Bennet","Harris","Booker","O'Rourke","Bullock","Gillibrand","Castro","Hickenlooper","Inslee","Delaney","Williamson","Ryan","Swalwell","Moulton","Messam","Patrick","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"8",NA,"rcp_average","6860","rcp_average","2/11 - 3/8","","","","",Biden,,+11.5,,NA,NA,NA,NA,NA,"Biden","","+11.5","",39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,28,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Yahoo News/YouGov","126992","poll_rcp_avg","3/6 - 3/8",""," RV","","",Biden,,+28.0,,2020-03-09 15:34:41,"https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-crushing-sanders-in-michigan-and-other-battleground-states-ahead-of-tuesdays-primary-180347138.html",2020-03-06,2020-03-08,"1","Biden","","+28.0","",59.0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Univ. of Wis/State Journal","126657","poll_rcp_avg","2/11 - 2/20","","537 LV","","",Sanders,,+5.0,,2020-02-23 11:34:12,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","","+5.0","",20.0,25,19.0, 9,12.0, 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Franklin &amp; Marshall","126264","poll","1/20 - 1/26","","292 RV","","",Biden,,+7.0,,2020-01-30 15:19:24,"https://www.fandm.edu/uploads/files/562535870732261549-f-m-poll-release-january-2020.pdf",2020-01-20,2020-01-26,"1","Biden","","+7.0","",22.0,15, 7.0,14, 6.0, 5, 1.0, 1, 5.0, 0,NA,NA,NA,NA,NA,NA,NA,NA, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Franklin &amp; Marshall","124669","poll","10/21 - 10/27","","226 RV","","",Biden,,+12.0,,2019-10-31 08:39:11,"https://www.fandm.edu/uploads/files/93374337988676509-f-m-poll-release-october-2019.pdf",2019-10-21,2019-10-27,"1","Biden","","+12.0","",30.0,12,NA,18, 8.0, 2, 2.0,NA, 1.0, 2, 1.0, 1, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Siena College/New York Times Upshot","NY Times/Siena","124872","poll","10/13 - 10/25","","304 LV","","",Biden,,+12.0,,2019-11-08 09:18:46,"https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html",2019-10-13,2019-10-25,"1","Biden","","+12.0","",28.0,14,NA,16, 4.0, 1, 0.0,NA, 2.0,NA, 1.0, 0, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"5",NA,"FOX 43/Susquehanna","124041","poll","9/30 - 10/6","","307 RV","","",Biden,,+8.0,,2019-10-08 09:14:54,"https://fox43.com/2019/10/08/majority-of-pennsylvanians-believe-trump-impeachment-inquiry-has-merit-new-fox43-spr-poll-finds/",2019-09-30,2019-10-06,"1","Biden","","+8.0","",17.0, 6,NA, 9, 8.0, 1, 0.0,NA, 0.0, 2, 1.0, 0, 0.0,NA,NA, 0,NA,NA, 0.0, 0, 0.0,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Franklin &amp; Marshall","123142","poll","7/29 - 8/4","","295 RV","","",Biden,,+7.0,,2019-08-08 08:51:52,"https://www.fandm.edu/uploads/files/366978281722999151-f-m-poll-release-august-2019.pdf",2019-07-29,2019-08-04,"1","Biden","","+7.0","",28.0,12,NA,21, 6.0, 0, 1.0,NA,NA,NA, 8.0, 2, 1.0,NA, 0.0,NA,NA,NA, 0.0, 0, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quinnipiac University","Quinnipiac","121894","poll","5/9 - 5/14","","431 RV","6.2","",Biden,,+26.0,,2019-05-15 13:34:29,"https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=2620",2019-05-09,2019-05-14,"1","Biden","","+26.0","",39.0,13,NA, 8, 6.0, 1, 0.0,NA, 0.0, 0, 8.0, 5, 2.0,NA, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"9",NA,"Morning Call","121515","poll","4/3 - 4/10","","405 RV","5.5","",Biden,,+12.0,,2019-04-12 17:02:54,"https://www.mcall.com/news/pennsylvania/capitol-ideas/mc-nws-pa-morning-call-muhlenberg-poll-democrats-2020-president-20190412-ls5uqkn55zappbk3l4jjofqpha-story.html",2019-04-03,2019-04-10,"1","Biden","","+12.0","",28.0,16,NA, 8, 4.0, 3,NA,NA,NA,NA, 8.0, 3, 3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","121312","poll","3/26 - 3/28","","359 RV","5.1","",Biden,,+19.0,,2019-03-28 20:04:33,"https://emersonpolling.reportablenews.com/pr/pennsylvania-2020-biden-leads-democratic-field-in-pennsylvania-biden-and-sanders-lead-trump-by-10-points-in-general-election",2018-03-26,2019-03-28,"1","Biden","","+19.0","",39.0,20,NA,11, 6.0, 0, 3.0,NA, 1.0,NA, 5.0, 4, 5.0,NA, 2.0, 1, 0.0, 0,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
