"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Trump","Buttigieg","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"9",NA,"rcp_average","6970","rcp_average","2/11 - 2/23","","","","",Trump,Republican,+3.3,,NA,NA,NA,NA,NA,"Trump","Republican","+3.3","",46.3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Marquette","126764","poll_rcp_avg","2/19 - 2/23","","1000 RV","3.6","",Tie,,,,2020-02-27 14:30:53,"https://law.marquette.edu/poll/2020/02/27/new-marquette-law-school-poll-finds-sanders-support-rising-among-democrats-and-tight-races-between-trump-and-each-democratic-candidate-for-president/",2020-02-19,2020-02-23,"1","Tie","","","",45.0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Univ. of Wis/State Journal","126659","poll_rcp_avg","2/11 - 2/20","","936 RV","4.0","",Trump,Republican,+2.0,,2020-02-23 12:09:54,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Trump","Republican","+2.0","",45.0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quinnipiac University","Quinnipiac","126629","poll_rcp_avg","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+8.0,,2020-02-20 12:27:40,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+8.0","",49.0,41,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2, 0
"6",NA,"Marquette","126016","poll","1/8 - 1/12","","800 RV","4.1","",Trump,Republican,+2.0,,2020-01-15 14:36:30,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Trump","Republican","+2.0","",46.0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125891","poll","1/5 - 1/8","","1504 RV","2.5","",Buttigieg,Democrat,+1.0,,2020-01-09 19:11:51,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Buttigieg","Democrat","+1.0","",41.0,42,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9, 0
"3",NA,"Marquette","125467","poll","12/3 - 12/8","","800 RV","4.1","",Trump,Republican,+1.0,,2019-12-12 16:19:14,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Trump","Republican","+1.0","",44.0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Marquette","125066","poll","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+8.0,,2019-11-20 15:19:33,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+8.0","",47.0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Marquette","124528","poll","10/13 - 10/17","","799 RV","4.2","",Trump,Republican,+2.0,,2019-10-23 22:53:58,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Trump","Republican","+2.0","",45.0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
