"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Trump","Sanders","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"13",NA,"rcp_average","6850","rcp_average","2/11 - 2/23","","","","",Trump,Republican,+1.0,,NA,NA,NA,NA,NA,"Trump","Republican","+1.0","",46.7,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Marquette","126761","poll_rcp_avg","2/19 - 2/23","","1000 RV","3.6","",Sanders,Democrat,+2.0,,2020-02-27 14:22:13,"https://law.marquette.edu/poll/2020/02/27/new-marquette-law-school-poll-finds-sanders-support-rising-among-democrats-and-tight-races-between-trump-and-each-democratic-candidate-for-president/",2020-02-19,2020-02-23,"1","Sanders","Democrat","+2.0","",46.0,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Univ. of Wis/State Journal","126658","poll_rcp_avg","2/11 - 2/20","","936 RV","4.0","",Sanders,Democrat,+2.0,,2020-02-23 12:08:59,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Sanders","Democrat","+2.0","",44.0,46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Quinnipiac University","Quinnipiac","126628","poll_rcp_avg","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+7.0,,2020-02-20 12:26:41,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+7.0","",50.0,43.0,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"7",NA,"Marquette","126014","poll","1/8 - 1/12","","800 RV","4.1","",Sanders,Democrat,+1.0,,2020-01-15 14:36:57,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Sanders","Democrat","+1.0","",46.0,47.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125889","poll","1/5 - 1/8","","1504 RV","2.5","",Sanders,Democrat,+4.0,,2020-01-09 19:10:42,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Sanders","Democrat","+4.0","",42.0,46.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"11",NA,"Marquette","125465","poll","12/3 - 12/8","","800 RV","4.1","",Trump,Republican,+2.0,,2019-12-12 16:17:40,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Trump","Republican","+2.0","",47.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Marquette","125065","poll","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+3.0,,2019-11-20 15:19:10,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+3.0","",48.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Siena College/New York Times Upshot","NY Times/Siena","124746","poll","10/13 - 10/26","","651 LV","4.4","",Sanders,Democrat,+1.0,,2019-11-04 11:31:00,"https://github.com/ndcohn/battleground-poll-2019/blob/master/WI110419%20Crosstabs.pdf",2019-10-13,2019-10-26,"1","Sanders","Democrat","+1.0","",46.0,47.0,448, 57,"yes","yes","Live","no",-1.3,-1.0,"A+","R +0.3","69%","11%",3.9,5.7,-1.7,-1.3,-1.0,-1.0, 57,"R +0.4","R +0.3","D +0.4",4.2,0.21
"8",NA,"Marquette","124527","poll","10/13 - 10/17","","799 RV","4.2","",Sanders,Democrat,+2.0,,2019-10-23 22:51:56,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Sanders","Democrat","+2.0","",46.0,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Fox News/Beacon Research/Shaw & Co. Research","FOX News","123986","poll","9/29 - 10/2","","1512 RV","2.5","",Sanders,Democrat,+5.0,,2019-10-06 11:08:25,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin",2019-09-29,2019-10-02,"1","Sanders","Democrat","+5.0","",40.0,45.0,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"10",NA,"Marquette","123490","poll","8/25 - 8/29","","800 RV","3.9","",Sanders,Democrat,+4.0,,2019-09-04 17:11:13,"https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Toplines.pdf",2019-08-25,2019-08-29,"1","Sanders","Democrat","+4.0","",44.0,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Emerson College","Emerson","121142","poll","3/15 - 3/17","","775 RV","3.5","",Sanders,Democrat,+4.0,,2019-03-17 19:22:45,"https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election",2019-03-15,2019-03-17,"1","Sanders","Democrat","+4.0","",48.0,52.0, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
