state,contest,party,pollno
Alabama,president,democrat,7051
Arizona,president,democrat,6898
Arkansas,president,democrat,7013
California,president,democrat,6879
Colorado,president,democrat,6939
Florida,president,democrat,6847
Georgia,president,democrat,6953
Illinois,president,democrat,7036
Iowa,president,democrat,6731
Maine,president,democrat,6921
Massachusetts,president,democrat,6786
Michigan,president,democrat,6835
Minnesota,president,democrat,7035
Missouri,president,democrat,6930
National,president,democrat,6730
Nevada,president,democrat,6866
New Hampshire,president,democrat,6276
North Carolina,president,democrat,6874
Ohio,president,democrat,6873
Oklahoma,president,democrat,6938
Pennsylvania,president,democrat,6860
South Carolina,president,democrat,6824
Tennessee,president,democrat,7050
Texas,president,democrat,6875
Utah,president,democrat,7004
Vermont,president,democrat,7023
Virginia,president,democrat,6920
Washington,president,democrat,7005
Wisconsin,president,democrat,6848
Michigan,h2h_warren,democrat,6769
National,h2h_warren,democrat,6251
Pennsylvania,h2h_warren,democrat,6865
Wisconsin,h2h_warren,democrat,6852
Michigan,h2h_sanders,democrat,6768
National,h2h_sanders,democrat,6250
Pennsylvania,h2h_sanders,democrat,6862
Wisconsin,h2h_sanders,democrat,6850
Michigan,h2h_klobuchar,democrat,6836
National,h2h_klobuchar,democrat,6803
Pennsylvania,h2h_klobuchar,democrat,7031
Wisconsin,h2h_klobuchar,democrat,6854
Michigan,h2h_buttigieg,democrat,6909
National,h2h_buttigieg,democrat,6872
Pennsylvania,h2h_buttigieg,democrat,6899
Wisconsin,h2h_buttigieg,democrat,6970
Michigan,h2h_bloomberg,democrat,6997
National,h2h_bloomberg,democrat,6797
Pennsylvania,h2h_bloomberg,democrat,7030
Wisconsin,h2h_bloomberg,democrat,7032
Michigan,h2h_biden,democrat,6761
National,h2h_biden,democrat,6247
Pennsylvania,h2h_biden,democrat,6861
Wisconsin,h2h_biden,democrat,6849